id,stars,n
tt0041959,9,37772
tt0041959,10,37791
tt0042041,1,935
tt0042041,2,283
tt0042041,3,126
tt0042041,4,251
tt0042041,5,712
tt0042041,6,1897
tt0042041,7,5600
tt0042041,8,10715
tt0042041,9,7299
tt0042041,10,5932
tt0042192,1,2592
tt0042192,2,786
tt0042192,3,1089
tt0042192,4,1946
tt0042192,5,3839
tt0042192,6,7268
tt0042192,7,19597
tt0042192,8,35852
tt0042192,9,29182
tt0042192,10,30331
tt0042208,1,177
tt0042208,2,92
tt0042208,3,140
tt0042208,4,266
tt0042208,5,743
tt0042208,6,2146
tt0042208,7,6196
tt0042208,8,9737
tt0042208,9,4818
tt0042208,10,3714
tt0042332,1,867
tt0042332,2,645
tt0042332,3,1235
tt0042332,4,2895
tt0042332,5,8859
tt0042332,6,24844
tt0042332,7,52740
tt0042332,8,37473
tt0042332,9,14400
tt0042332,10,19772
tt0042546,1,1074
tt0042546,2,308
tt0042546,3,420
tt0042546,4,704
tt0042546,5,1667
tt0042546,6,3886
tt0042546,7,9789
tt0042546,8,15762
tt0042546,9,10970
tt0042546,10,11740
tt0042593,1,227
tt0042593,2,114
tt0042593,3,141
tt0042593,4,287
tt0042593,5,825
tt0042593,6,2225
tt0042593,7,6566
tt0042593,8,11346
tt0042593,9,6222
tt0042593,10,4577
tt0042804,1,864
tt0042804,2,136
tt0042804,3,91
tt0042804,4,151
tt0042804,5,346
tt0042804,6,974
tt0042804,7,2838
tt0042804,8,5807
tt0042804,9,4979
tt0042804,10,4702
tt0042876,1,3679
tt0042876,2,1138
tt0042876,3,1300
tt0042876,4,2399
tt0042876,5,4734
tt0042876,6,9448
tt0042876,7,25512
tt0042876,8,45357
tt0042876,9,39985
tt0042876,10,36877
tt0043014,1,3744
tt0043014,2,1132
tt0043014,3,1389
tt0043014,4,2584
tt0043014,5,5259
tt0043014,6,11175
tt0043014,7,29962
tt0043014,8,58283
tt0043014,9,55140
tt0043014,10,55399
tt0043137,1,161
tt0043137,2,103
tt0043137,3,152
tt0043137,4,245
tt0043137,5,874
tt0043137,6,2122
tt0043137,7,5222
tt0043137,8,6838
tt0043137,9,2736
tt0043137,10,1944
tt0043265,1,1012
tt0043265,2,402
tt0043265,3,659
tt0043265,4,1144
tt0043265,5,3064
tt0043265,6,6978
tt0043265,7,16188
tt0043265,8,23508
tt0043265,9,13908
tt0043265,10,13283
tt0043274,1,889
tt0043274,2,710
tt0043274,3,1293
tt0043274,4,2718
tt0043274,5,7543
tt0043274,6,19367
tt0043274,7,42484
tt0043274,8,36500
tt0043274,9,15081
tt0043274,10,18252
tt0043278,1,429
tt0043278,2,319
tt0043278,3,443
tt0043278,4,936
tt0043278,5,2191
tt0043278,6,5077
tt0043278,7,9675
tt0043278,8,7979
tt0043278,9,3952
tt0043278,10,3630
tt0043338,1,839
tt0043338,2,261
tt0043338,3,161
tt0043338,4,266
tt0043338,5,729
tt0043338,6,2070
tt0043338,7,6339
tt0043338,8,12173
tt0043338,9,8180
tt0043338,10,5825
tt0043456,1,1310
tt0043456,2,472
tt0043456,3,619
tt0043456,4,1077
tt0043456,5,3049
tt0043456,6,7313
tt0043456,7,17125
tt0043456,8,24350
tt0043456,9,13800
tt0043456,10,13869
tt0043924,1,215
tt0043924,2,118
tt0043924,3,146
tt0043924,4,260
tt0043924,5,820
